Nama Koperasi,Kecamatan,Desa,lat,lon,Progres Pembangunan (%),Kategori Pembangunan,jarak_faskes_m,jarak_pendidikan_m,jarak_jalan_m,jarak_pemukiman_m,faskes_500m,faskes_1km,pendidikan_500m,pendidikan_1km,skor_rentan,kategori_rentan
KOPERASI DESA MERAH PUTIH KEMUTUG KIDUL KECAMATAN BATURRADEN KABUPATEN BANYUMAS,Baturraden,Kemutug Kidul,-7.344441,109.236737,94.77,> 75%,1224.7018229942591,1291.6662579086687,182.04788685317152,11.286328322644339,0,0,0,0,0.00034161248818341544,Rendah
KOPERASI DESA MERAH PUTIH KALIWEDI KECAMATAN KEBASEN KABUPATEN BANYUMAS,Kebasen,Kaliwedi,-7.558429,109.232487,94.5,> 75%,4291.779913695081,3884.456536696765,7321.064810601248,17.61923894955809,0,0,0,0,0.0023734247756562713,Rendah
KOPERASI DESA MERAH PUTIH KARANGKLESEM KECAMATAN PEKUNCEN KABUPATEN BANYUMAS,Pekuncen,Karangklesem,-7.377669971,109.0859425,94.12,> 75%,3984.548154790793,2517.0025508350996,10945.130193587876,7.676117922020274,0,0,0,0,0.0026583946918676215,Rendah
KOPERASI DESA MERAH PUTIH CINDAGA KECAMATAN KEBASEN KABUPATEN BANYUMAS,Kebasen,Cindaga,-7.548123623,109.1879779,92.65,> 75%,1941.6520586158958,1397.82017998717,7857.282845200066,47.47954879814918,0,0,0,0,0.0016550315123713883,Rendah
KOPERASI DESA MERAH PUTIH PLANA KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,Somagede,Plana,-7.49021091,109.352713,92.23,> 75%,6133.604305305936,202.66649614995896,5947.313992560017,29.60577599332192,0,0,1,1,0.0019436513765941751,Rendah
KOPERASI DESA MERAH PUTIH KOTAYASA KECAMATAN SUMBANG KABUPATEN BANYUMAS,Sumbang,Kotayasa,-7.3349691,109.2501295,92.12,> 75%,1649.189049889077,1619.541982182877,641.8870710617329,7.304203640733166,0,0,0,0,0.000537515855182294,Rendah
KOPERASI DESA MERAH PUTIH SOKARAJA LOR KECAMATAN SOKARAJA KABUPATEN BANYUMAS,Sokaraja,Sokaraja Lor,-7.448038737,109.2973783,91.79,> 75%,1019.304360874898,788.1149390199953,635.4868434254705,251.08747856990354,0,0,0,2,0.00032589791340303015,Rendah
KOPERASI DESA MERAH PUTIH SIBRAMA KECAMATAN KEMRANJEN KABUPATEN BANYUMAS,Kemranjen,Sibrama,-7.612222517,109.3255292,90.17,> 75%,9597.621778167364,9848.7557441571,13997.021964788928,240.9163702503849,0,0,0,0,0.00527847848229264,Rendah
KOPERASI DESA MERAH PUTIH KEDUNGWULUH KIDUL KECAMATAN PATIKRAJA KABUPATEN BANYUMAS,Patikraja,Kedungwuluh Kidul,-7.471747,109.205289,89.93,> 75%,2027.5193880306797,4493.756675113566,3255.530090892935,10.438849575884706,0,0,0,0,0.001437785581164543,Rendah
KOPERASI DESA MERAH PUTIH KEDUNGBANTENG KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,Kedungbanteng,Kedungbanteng,-7.391537,109.201683,89.32,> 75%,3890.2646464478717,1829.2104937351726,152.21069903750922,5.810713123138054,0,0,0,0,0.0009018082226036961,Rendah
KOPERASI DESA MERAH PUTIH DAWUHAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Dawuhan,-7.520468,109.259886,89.06,> 75%,3622.9032949782277,3708.8623929178643,2246.5748309595665,72.68582992283957,0,0,0,0,0.0014633113364174194,Rendah
KOPERASI DESA MERAH PUTIH KARANGRAU KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Karangrau,-7.553994,109.2850227,88.2,> 75%,2776.493520080529,2926.47356711305,6267.343658826142,20.73286719388761,0,0,0,0,0.0017939740414905105,Rendah
KOPERASI DESA MERAH PUTIH WIRADADI KECAMATAN SOKARAJA KABUPATEN BANYUMAS,Sokaraja,Wiradadi,-7.4687467,109.2563505,86.87,> 75%,1990.1277664329898,1166.6164279283498,1256.9899158831836,106.99885877966038,0,0,0,0,0.0006361328437538066,Rendah
KOPERASI DESA MERAH PUTIH WATUAGUNG KECAMATAN TAMBAK KABUPATEN BANYUMAS,Tambak,Watuagung,-7.6005303,109.4117915,85.8,> 75%,14657.176767407851,13982.77055068593,19081.04094926251,10.353700851382754,0,0,0,0,0.007565338166257557,Rendah
KOPERASI DESA MERAH PUTIH KALIURIP KECAMATAN PURWOJATI KABUPATEN BANYUMAS,Purwojati,Kaliurip,-7.4778596,109.085455,85.45,> 75%,7218.561978978909,7132.647521454233,13885.329670418674,132.968666619835,0,0,0,0,0.004405183151604166,Rendah
KOPERASI DESA MERAH PUTIH CIRAHAB KECAMATAN LUMBIR KABUPATEN BANYUMAS,Lumbir,Cirahab,-7.4731388,109.0281529,85.06,> 75%,8684.097747212369,9248.260548997481,19762.96102879493,44.79440150529203,0,0,0,0,0.0058713693679286845,Rendah
KOPERASI DESA MERAH PUTIH PEGALONGAN KECAMATAN PATIKRAJA KABUPATEN BANYUMAS,Patikraja,Pegalongan,-7.4828571,109.2369705,84.88,> 75%,2488.977369562185,3730.3874522173346,1200.5379723147694,101.71584966273623,0,0,0,0,0.0011057421791341824,Rendah
KOPERASI DESA MERAH PUTIH PAMIJEN KECAMATAN BATURRADEN KABUPATEN BANYUMAS,Baturraden,Pamijen,-7.3748333,109.228572,84.44,> 75%,4372.155929653925,1770.6807943075928,631.558564026319,39.66202705763971,0,0,0,0,0.0010571739192158371,Rendah
KOPERASI DESA MERAH PUTIH TAMBAKSARI KIDUL KECAMATAN KEMBARAN KABUPATEN BANYUMAS,Kembaran,Tambaksari Kidul,-7.3990228,109.2595446,84.38,> 75%,1407.3900352407395,1136.5913965972968,871.1656291589388,43.407374709904566,0,0,0,0,0.00045960186279023245,Rendah
KOPERASI DESA MERAH PUTIH KARANGNANGKA KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,Kedungbanteng,Karangnangka,-7.3743813,109.215243,83.59,> 75%,4701.73645786032,2750.6875434245594,135.58618514706703,14.867798319808303,0,0,0,0,0.0011872656657957018,Rendah
KOPERASI DESA MERAH PUTIH KAWUNGCARANG KECAMATAN SUMBANG KABUPATEN BANYUMAS,Sumbang,Kawungcarang,-7.3788984,109.2545148,83.29,> 75%,3478.3460959892927,945.1755695224763,1104.347888419843,48.89864144287366,0,0,0,1,0.0008426295060400105,Rendah
KOPERASI DESA MERAH PUTIH KARANGLO KECAMATAN CILONGOK KABUPATEN BANYUMAS,Cilongok,Karanglo,-7.3959039,109.115048,82.96,> 75%,4438.4359272007205,166.22498190998962,8425.733970662439,68.84087198706166,0,0,5,5,0.00201058341880024,Rendah
KOPERASI DESA MERAH PUTIH KLAPAGADING KECAMATAN WANGON KABUPATEN BANYUMAS,Wangon,Klapagading,-7.5216589,109.0681723,82.66,> 75%,12079.755495022673,5487.573198815013,17604.357123194586,161.56032666558727,0,0,0,0,0.005605604132817248,Rendah
