kel,No,Nama Koperasi,Koordinat,Provinsi ,Kota,Kecamatan,Desa,Progres Pembangunan (%),Kategori Pembangunan
,25,KOPERASI DESA MERAH PUTIH SOKARAJA WETAN KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"-7.454977, 109.304635",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Sokaraja Wetan,100.00,100%
6,26,KOPERASI DESA MERAH PUTIH GUMELAR KECAMATAN GUMELAR KABUPATEN BANYUMAS,"-7.373486, 108.978213",JAWA TENGAH,KAB. BANYUMAS,Gumelar,Gumelar,100.00,100%
,27,KOPERASI DESA MERAH PUTIH SAMBENG KULON KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.405459503,109.3023893",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Sambeng Kulon,100.00,100%
,28,KOPERASI DESA MERAH PUTIH LEBENG KECAMATAN SUMPIUH KABUPATEN BANYUMAS,"-7.599445, 109.343995",JAWA TENGAH,KAB. BANYUMAS,Sumpiuh,Lebeng,100.00,100%
,29,KOPERASI DESA MERAH PUTIH KUTALIMAN KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"-7.364050, 109.213657",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Kutaliman,100.00,100%
,30,KOPERASI DESA MERAH PUTIH TAMANSARI KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.438811, 109.189509",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Tamansari,100.00,100%
7,31,KOPERASI DESA MERAH PUTIH PANDANSARI KECAMATAN AJIBARANG KABUPATEN BANYUMAS,"-7.397196, 108.051142",JAWA TENGAH,KAB. BANYUMAS,Ajibarang,Pandansari,100.00,100%
,32,KOPERASI DESA MERAH PUTIH KALIORI KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.502011, 109.291565",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Kaliori,100.00,100%
,33,KOPERASI DESA MERAH PUTIH KARANGKEMIRI KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.421225, 109.182055",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Karangkemiri,100.00,100%
,34,KOPERASI DESA MERAH PUTIH BANTERAN KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.362684, 109.260358",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Banteran,100.00,100%
,35,KOPERASI DESA MERAH PUTIH KARANGTENGAH KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.350954, 109.124461",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Karangtengah,100.00,100%
8,36,KOPERASI DESA MERAH PUTIH GRUJUGAN KECAMATAN KEMRANJEN KABUPATEN BANYUMAS,"-7.612184583,109.2680809",JAWA TENGAH,KAB. BANYUMAS,Kemranjen,Grujugan,100.00,100%
,37,KOPERASI DESA MERAH PUTIH REMPOAH KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.364450951,109.2372565",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Rempoah,100.00,100%
,38,KOPERASI DESA MERAH PUTIH KEDUNGPRING KECAMATAN KEMRANJEN KABUPATEN BANYUMAS,"-7.6021738,109.331884",JAWA TENGAH,KAB. BANYUMAS,Kemranjen,Kedungpring,100.00,100%
,39,KOPERASI DESA MERAH PUTIH LUMBIR KECAMATAN LUMBIR KABUPATEN BANYUMAS,"-7.4444872,108.9496451",JAWA TENGAH,KAB. BANYUMAS,Lumbir,Lumbir,100.00,100%
,40,KOPERASI DESA MERAH PUTIH BANTERAN KECAMATAN WANGON KABUPATEN BANYUMAS,"-7.50399134,109.068191",JAWA TENGAH,KAB. BANYUMAS,Wangon,Banteran,100.00,100%
9,41,KOPERASI DESA MERAH PUTIH KALICUPAK KIDUL KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.459519582,109.3272828",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Kalicupak Kidul,100.00,100%
,42,KOPERASI DESA MERAH PUTIH PEKAJA KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.478885119,109.2765208",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Pekaja,100.00,100%
,43,KOPERASI DESA MERAH PUTIH PLIKEN KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.432034265,109.2899708",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Pliken,100.00,100%
,44,KOPERASI DESA MERAH PUTIH KEMUTUG LOR KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.293027865,109.2265056",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Kemutug Lor,100.00,100%
,45,KOPERASI DESA MERAH PUTIH KALIBAGOR KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.480045646,109.2995621",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Kalibagor,100.00,100%
10,46,KOPERASI DESA MERAH PUTIH KETANDA KECAMATAN SUMPIUH KABUPATEN BANYUMAS,"-7.585644, 109.348187",JAWA TENGAH,KAB. BANYUMAS,Sumpiuh,Ketanda,100.00,100%
,47,KOPERASI DESA MERAH PUTIH BANJARSARI KECAMATAN AJIBARANG KABUPATEN BANYUMAS,"-7.414182, 109.112624",JAWA TENGAH,KAB. BANYUMAS,Ajibarang,Banjarsari,100.00,100%
,48,KOPERASI DESA MERAH PUTIH CIBANGKONG KECAMATAN PEKUNCEN KABUPATEN BANYUMAS,"-7.392502, 109.046187",JAWA TENGAH,KAB. BANYUMAS,Pekuncen,Cibangkong,100.00,100%
,49,KOPERASI DESA MERAH PUTIH SUDAGARAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.518636, 109.293576",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Sudagaran,100.00,100%
,50,KOPERASI DESA MERAH PUTIH CIHONJE KECAMATAN GUMELAR KABUPATEN BANYUMAS,"-7.396113, 108.993284",JAWA TENGAH,KAB. BANYUMAS,Gumelar,Cihonje,100.00,100%
11,51,KOPERASI DESA MERAH PUTIH GUNUNGLURAH KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.377036852,109.1535303",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Gununglurah,100.00,100%
